iter	Passed	Remaining
555	244417	195181
556	244895	194773
557	245337	194335
558	245796	193910
559	246247	193480
560	246729	193073
561	247194	192653
562	247620	192202
563	248079	191777
564	248482	191309
565	248960	190898
566	249467	190510
567	249953	190105
568	250421	189686
569	250936	189303
570	251390	188873
571	251862	188456
572	252305	188017
573	252781	187604
574	253238	187176
575	253687	186742
576	254145	186314
577	254617	185897
578	255075	185469
579	255531	185040
580	255980	184605
581	256411	184157
582	256882	183739
583	257354	183321
584	257805	182887
585	258268	182462
586	258723	182031
587	259199	181615
588	259691	181211
589	260157	180787
590	260620	180361
591	261113	179956
592	261570	179526
593	262043	179107
594	262500	178676
595	262973	178257
596	263464	177849
597	263941	177432
598	264409	177008
599	264874	176583
600	265359	176170
601	265818	175740
602	266299	175324
603	266774	174904
604	267246	174482
605	267720	174062
606	268199	173644
607	268684	173230
608	269142	172799
609	269613	172375
610	270010	171905
611	270506	171497
612	270991	171082
613	271504	170685
614	271948	170243
615	272406	169812
616	272896	169399
617	273375	168979
618	273836	168548
619	274302	168120
620	274773	167696
621	275234	167264
622	275719	166847
623	276197	166426
624	276703	166021
625	277138	165574
626	277585	165134
627	278018	164686
628	278512	164273
629	278967	163838
630	279380	163377
631	279868	162961
632	280341	162536
633	280823	162115
634	281306	161696
635	281778	161269
636	282244	160839
637	282730	160420
638	283187	159985
639	283631	159542
640	284130	159131
641	284610	158708
642	285056	158266
643	285526	157837
644	285989	157404
645	286415	156952
646	286865	156512
647	287315	156072
648	287799	155651
649	288267	155221
650	288733	154789
651	289228	154373
652	289681	153934
653	290143	153501
654	290581	153054
655	291071	152634
656	291542	152205
657	292011	151774
658	292454	151330
659	292937	150907
660	293408	150477
661	293898	150056
662	294361	149622
663	294810	149181
664	295313	148766
665	295721	148304
666	296192	147874
667	296656	147440
668	297151	147021
669	297564	146561
670	298025	146125
671	298478	145685
672	298953	145256
673	299418	144822
674	299887	144390
675	300376	143967
676	300855	143539
677	301335	143111
678	301804	142679
679	302282	142250
680	302752	141817
681	303238	141392
682	303724	140967
683	304184	140529
684	304595	140069
685	305061	139634
686	305522	139197
687	305991	138763
688	306433	138317
689	306843	137857
690	307326	137429
691	307733	136968
692	308198	136532
693	308679	136103
694	309178	135682
695	309662	135254
696	310126	134818
697	310590	134381
698	311057	133946
699	311550	133521
700	312001	133078
701	312456	132638
702	312934	132206
703	313385	131764
704	313849	131327
705	314312	130889
